ὁ	ὁ, ἡ, τό	the 
κοπιάω	κοπιάω	to toil, labor
κωλύω	κωλύω	to forbid, hinder, prevent
μιμνῄσκομαι	μιμνῄσκομαι	to remember
πεινάω	πεινάω	to hunger
πέραν	πέραν	beyond (gen)
περιβάλλω	περιβάλλω	to put around, clothe
σκεῦος	σκεῦος, -ους, τό	a vessel; goods (plural)
τελειόω	τελειόω	to fulfill, make perfect
χαρίζομαι	χαρίζομαι	to give freely, forgive
χιλιάς	χιλιάς, -άδος, ἡ	a thousand
ἀγνοέω	ἀγνοέω	to not know, be unaware
ἀντί	ἀντί	instead of, for (gen)
γρηγορέω	γρηγορέω	to watch, keep watch
δέομαι	δέομαι	to beseech
δοκιμάζω	δοκιμάζω	to prove, approve
ἐκλέγω	ἐκλέγω	to pick out, choose
ἐκλεκτός	ἐκλεκτός, -ή, -όν	chosen, elect
ἠσαΐας	Ἠσαΐας, -ου, ὁ	Isaiah
θεάομαι	θεάομαι	to behold
καθεύδω	καθεύδω	to sleep
κατεργάζομαι	κατεργάζομαι	to work out, produce
κοιλία	κοιλία, -ας, ἡ	the belly, womb, stomach
μακεδονία	Μακεδονία, -ας, ἡ	Macedonia
μετάνοια	μετάνοια, -ας, ἡ	repentance
μηκέτι	μηκέτι	no longer
πληγή	πληγή, -ῆς, ἡ	a blow, wound, plague
πλοῦτος	πλοῦτος, -ου, ὁ	wealth, riches
προσδοκάω	προσδοκάω	to wait for, look for
πωλέω	πωλέω	to sell
συνέδριον	συνέδριον, -ου, τό	a council, the Sanhedrin
τεσσεράκοντα	τεσσεράκοντα	forty
βασιλεύω	βασιλεύω	to reign
διδασκαλία	διδασκαλία, -ας, ἡ	teaching, doctrine
ἐνεργέω	ἐνεργέω	to work, effect
εὐδοκέω	εὐδοκέω	to think it good, be well pleased with
ἐφίστημι	ἐφίστημι	to stand over, come upon
θερίζω	θερίζω	to reap
καθίστημι	καθίστημι	to set, constitute, put in charge
λατρεύω	λατρεύω	to serve, worship
πειρασμός	πειρασμός, -οῦ, ὁ	temptation
στρέφω	στρέφω	to turn
τελώνης	τελώνης, -ου, ὁ	a taxgatherer
τιμάω	τιμάω	to honor
ὑπακούω	ὑπακούω	to obey
χιλίαρχος	χιλίαρχος, -ου, ὁ	a military tribune, captain, commander
ὡσεί	ὡσεί	like, about
αἰτία	αἰτία, -ας, ἡ	a cause, reason, accusation
ἀκροβυστία	ἀκροβυστία, -ας, ἡ	uncircumcision
ἀργύριον	ἀργύριον, -ου, τό	silver
γένος	γένος, -ους, τό	race, kind
γονεύς	γονεύς, -έως, ὁ	a parent
ἑκατοντάρχης	ἑκατοντάρχης, -ου	a centurion
ἐλαχύς	ἐλάσσων, -ον	lesser
ἐπίγνωσις	ἐπίγνωσις, -εως, ἡ	knowledge
ἡγεμών	ἡγεμών, -όνος, ὁ	a leader, a (Roman) governor
ἰσαάκ	Ἰσαάκ, ὁ	Isaac
ἰχθύς	ἰχθύς, -ύος, ὁ	a fish
κατακρίνω	κατακρίνω	to condemn
νηστεύω	νηστεύω	to fast
νυνί	νυνί	now
ξύλον	ξύλον, -ου, τό	wood, tree
προάγω	προάγω	to lead forth, go before
σκηνή	σκηνή, -ῆς, ἡ	a tent, tabernacle
σοφός	σοφός, -ή, -όν	wise
τοσοῦτος	τοσοῦτος, -αύτη, -οῦτον	so great, so much; so many (plural)
τρέχω	τρέχω	to run
ὑπηρέτης	ὑπηρέτης, -ου, ὁ	a servant, assistant
ὑψόω	ὑψόω	to lift up, exalt
ἀπέχω	ἀπέχω	to have received; to be distant
βάπτισμα	βάπτισμα, -τος, τό	baptism
γεωργός	γεωργός, -οῦ, ὁ	a farmer
διακρίνω	διακρίνω	to discriminate, judge; to doubt (middle)
δῶρον	δῶρον, -ου, τό	a gift
ἐπαίρω	ἐπαίρω	to lift up
ἐπάνω	ἐπάνω	above; over (gen)
ἐπιλαμβάνω	ἐπιλαμβάνομαι	to take hold of
ἐπουράνιος	ἐπουράνιος, -ον	heavenly
κοινωνία	κοινωνία, -ας, ἡ	fellowship; contribution
κριτής	κριτής, -ου, ὁ	a judge
κτίσις	κτίσις, -εως, ἡ	creation, creature
μαρτύριον	μαρτύριον, -ου, τό	a testimony, witness, proof
μεριμνάω	μεριμνάω	to be anxious, distracted
μήν	μήν, μηνός, ὁ	a month
παλαιός	παλαιός, -ά, -όν	old
παράπτωμα	παράπτωμα, -τος, τό	a trespass
παρατίθημι	παρατίθημι	to set before; to entrust (middle)
πότε	πότε	when?
προφητεία	προφητεία, -ας, ἡ	a prophecy
τέλειος	τέλειος, -α, -ον	complete, perfect, mature
ὑπομένω	ὑπομένω	to tarry; to endure
ἀληθῶς	ἀληθῶς	truly
ἀντιόχεια	Ἀντιόχεια, -ας, ἡ	Antioch
ἀποκάλυψις	ἀποκάλυψις, -εως, ἡ	a revelation
ἀπώλεια	ἀπώλεια, -ας, ἡ	destruction
ἀριθμός	ἀριθμός, -οῦ, ὁ	a number
ἀσία	Ἀσία, -ας, ἡ	Asia
βλασφημία	βλασφημία, -ας, ἡ	reproach, blasphemy
δέησις	δέησις, -εως, ἡ	an entreaty, prayer
δεσμός	δεσμός, -οῦ, ὁ	a fetter, bond, chain
εἰσπορεύομαι	εἰσπορεύομαι	to enter
ἐπιβάλλω	ἐπιβάλλω	to lay upon
ἐπιτρέπω	ἐπιτρέπω	to permit
θυμός	θυμός, -ου, ὁ	wrath
καταγγέλλω	καταγγέλλω	to proclaim
κενός	κενός, -ή, -όν	empty, vain
κληρονομέω	κληρονομέω	to inherit
κοιμάομαι	κοιμάομαι	to sleep, fall asleep
κόπος	κόπος, -ου, ὁ	labor, trouble
κρύπτω	κρύπτω	to conceal
μήτι	μήτι	interrogative particle in questions expecting a negative answer
οἰκοδομή	οἰκοδομή, -ῆς, ἡ	a building; edification
παραχρῆμα	παραχρῆμα	immediately
παρέχω	παρέχω	to offer, afford
ποιμήν	ποιμήν, -ένος, ὁ	a shepherd
πόλεμος	πόλεμος, -ου, ὁ	a war
πολλάκις	πολλάκις	often
προστίθημι	προστίθημι	to add, add to
πυλών	πυλών, -ῶνος, ὁ	a vestibule, gateway
τίκτω	τίκτω	to give birth to
φανερός	φανερός, -ά, -όν	manifest
χρυσοῦς	χρυσοῦς, -ῆ, -οῦν	golden
ἀνάγκη	ἀνάγκη, -ης, ἡ	necessity, distress
ἀνέχω	ἀνέχομαι	to endure
ἀρέσκω	ἀρέσκω	to please
ἄφεσις	ἄφεσις, -εως, ἡ	a sending away, remission
βρῶμα	βρῶμα, -τος, τό	food
ἑκατόν	ἑκατόν	a hundred
ἐλέγχω	ἐλέγχω	to convict, reprove
ἐξίστημι	ἐξίστημι	to amaze, be amazed
ἐπαύριον	ἐπαύριον	on the morrow
ἕτοιμος	ἕτοιμος, -η, -ον	ready, prepared
θησαυρός	θησαυρός, -οῦ, ὁ	a storehouse, treasure
ἵππος	ἵππος, -ου, ὁ	a horse
καισάρεια	Καισάρεια, -ας, ἡ	Caesarea
καταλύω	καταλύω	to destroy; to lodge
κατέχω	κατέχω	to hold back, hold fast
κερδαίνω	κερδαίνω	to gain
κρυπτός	κρυπτός, -ή, -όν	hidden
μέχρι	μέχρι	until; as far as (gen)
νίπτω	νίπτω	to wash
περιτέμνω	περιτέμνω	to circumcize
πλήρωμα	πλήρωμα, -τος, τό	fullness
πλησίον	πλησίον	near; a neighbor (as a noun)
ποταμός	ποταμός, -οῦ, ὁ	a river
ῥίζα	ῥίζα, -ης, ἡ	a root
ρ`ύομαι	ῥύομαι	to rescue, deliver
ταράσσω	ταράσσω	to trouble
ὑποκριτής	ὑποκριτής, -οῦ, ὁ	a hypocrite
χάρισμα	χάρισμα, -τος, τό	a gift
ὦ	ὦ	Oh!
ὡσαύτως	ὡσαύτως	likewise
ἀθετέω	ἀθετέω	to reject
ἀνακρίνω	ἀνακρίνω	to examine
γάμος	γάμος, -ου, ὁ	a marriage, wedding, wedding feast
δεῖπνον	δεῖπνον, -ου, τό	a supper
δέσμιος	δέσμιος, -ου, ὁ	a prisoner
δηνάριον	δηνάριον, -ου, ὁ	a denarius
διαλογίζομαι	διαλογίζομαι	to debate, reason
διατάσσω	διατάσσω	to command
διψάω	διψάω	to thirst
ἐκτείνω	ἐκτείνω	to stretch forth, stretch out
ἐμβαίνω	ἐμβαίνω	to embark
ἔπειτα	ἔπειτα	then
ἐπιθυμέω	ἐπιθυμέω	to desire
ἐπιμένω	ἐπιμένω	to continue
ἐργάτης	ἐργάτης, -ου, ὁ	a workman, laborer
εὐλογία	εὐλογία, -ας, ἡ	a blessing
ἔφεσος	Ἔφεσος, -ου, ἡ	Ephesus
κακῶς	κακῶς	badly
κατέρχομαι	κατέρχομαι	to come down, go down
καφαρναούμ	Καφαρναούμ, ἡ	Capernaum
κλείω	κλείω	to shut
κλέπτης	κλέπτης, -ου, ὁ	a thief
λύπη	λύπη, -ης, ἡ	pain, grief, sorrow
νυμφίος	νυμφίος, -ου, ὁ	a bridegroom
οὐδέποτε	οὐδέποτε	never
πάθημα	πάθημα, -τος, τό	suffering
πλήρης	πλήρης, -ες	full
σκοτία	σκοτία, -ας, ἡ	darkness
συκῆ	συκῆ, -ῆς, ἡ	a fig tree
συλλαμβάνω	συλλαμβάνω	to take, conceive
συνίστημι	συνίστημι	to commend (transitive); to stand with, consist (intransitive)
σφραγίς	σφραγίς, -ῖδος, ἡ	a seal
τέρας	τέρας, -ατος, τό	a wonder
τολμάω	τολμάω	to dare
τροφή	τροφή, -ῆς, ἡ	food
ὑστερέω	ὑστερέω	to lack, need
χορτάζω	χορτάζω	to eat to the full, be satisfied, be filled
ἀγαλλιάω	ἀγαλλιάω	to exult, rejoice
ἀνομία	ἀνομία, -ας, ἡ	lawlessness
ἀπάγω	ἀπάγω	to lead away
γεύω	γεύομαι	to taste
γνωστός	γνωστός, -ή, -όν	known
γυμνός	γυμνός, -ή, -όν	naked
δαμασκός	Δαμασκός, -οῦ, ἡ	Damascus
δέρω	δέρω	to beat
διαμαρτύρομαι	διαμαρτύρομαι	to testify solemnly
εἶτα	εἶτα	then
ἐλαία	ἐλαία, -ας, ἡ	an olive tree
ἐντέλλομαι	ἐντέλλομαι	to command
ἐπαγγέλλομαι	ἐπαγγέλλομαι	to promise
εὐσέβεια	εὐσέβεια, -ας, ἡ	godliness, piety
εὐχαριστία	εὐχαριστία, -ας, ἡ	thanksgiving
θεμέλιος	θεμέλιος, -ου, ὁ	a foundation
θρίξ	θρίξ, -τριχός, ἡ	a hair
ἰορδάνης	Ἰορδάνης, -ου, ὁ	the Jordan
καταλαμβάνω	καταλαμβάνω	to overtake, apprehend
κληρονόμος	κληρονόμος, -ου, ὁ	an heir
κτίζω	κτίζω	to create
λάζαρος	Λάζαρος, -ου, ὁ	Lazarus
λῃστής	λῃστής, -οῦ, ὁ	a robber
μοιχεύω	μοιχεύω	to commit adultery
νήπιος	νήπιος, -α, -ον	an infant, child
νομίζω	νομίζω	to suppose
ξηραίνω	ξηραίνω	to dry up
ὅθεν	ὅθεν	whence, wherefore
οἰκουμένη	οἰκουμένη, -ης, ἡ	the (inhabited) world
ὁμοιόω	ὁμοιόω	to make like, liken, compare
ὀψία	ὀψία, -ας, ἡ	evening
παρθένος	παρθένος, -ου, ἡ	a virgin
παύω	παύομαι	to cease
πέτρα	πέτρα, -ας, ἡ	a rock
ποτίζω	ποτίζω	to give drink to
προλέγω	προλέγω	to say beforehand
πώς	πώς	at all, somehow, in any way
ῥαββί	ῥαββί, ὁ	Rabbi, master (indeclinable)
σαλεύω	σαλεύω	to shake
σαῦλος	Σαῦλος, -ου, ὁ	Saul
σκάνδαλον	σκάνδαλον, -ου, τό	a cause of stumbling
συμφέρω	συμφέρω	to bring together; it is profitable
σφραγίζω	σφραγίζω	to seal
ταχέως	ταχέως	quickly
τράπεζα	τράπεζα, -ης, ἡ	a table
τύπος	τύπος, -ου, ὁ	a mark, example
ὑπακοή	ὑπακοή, -ῆς, ἡ	obedience
χόρτος	χόρτος, -ου, ὁ	grass, hay
ὠφελέω	ὠφελέω	to profit
ἄκανθα	ἄκανθα, -ης, ἡ	a thorn
ἀλλότριος	ἀλλότριος, -α, -ον	another's, strange, foreign
ἀμφότεροι	ἀμφότεροι, -αι, -α	both
ἀναγγέλλω	ἀναγγέλλω	to announce, report
ἀνάκειμαι	ἀνάκειμαι	to recline (at meals)
ἀναχωρέω	ἀναχωρέω	to depart, withdraw
ἀνθίστημι	ἀνθίστημι	to resist, oppose
ἅπαξ	ἅπαξ	once, once for all
ἀπειθέω	ἀπειθέω	to disbelieve, disobey
ἁρπάζω	ἁρπάζω	to seize
ἀτενίζω	ἀτενίζω	to gaze, stare
αὔριον	αὔριον	tomorrow
ἀφίστημι	ἀφίστημι	to withdraw, depart, fall away
γράμμα	γράμμα, -τος, τό	a letter; writings (plural)
διαλογισμός	διαλογισμός, -οῦ, ὁ	a reasoning, questioning, thought
ἕκτος	ἕκτος, -η, -ον	sixth
ἐνιαυτός	ἐνιαυτός, -οῦ, ὁ	a year
ἐπίσταμαι	ἐπίσταμαι	to understand, know
εὐφραίνω	εὐφραίνω	to rejoice
θύω	θύω	to sacrifice, kill
κατανοέω	κατανοέω	to observe
κατεσθίω	κατεσθίω	to eat up, devour
κλάω	κλάω	to break
κληρονομία	κληρονομία, -ας, ἡ	an inheritance
κοινός	κοινός, -ή, -όν	common, unclean, unholy
κοινόω	κοινόω	to make common, to defile
κωφός	κωφός, -ή, -όν	deaf, dumb
λύχνος	λύχνος, -ου, ὁ	a lamp
μακρόθεν	μακρόθεν	from afar, afar
μακροθυμία	μακροθυμία, -ας, ἡ	long-suffering, patience, forbearance
μερίζω	μερίζω	to divide
μέτρον	μέτρον, -ου, τό	a measure
μύρον	μύρον, -ου, τό	ointment, perfume
ναζαρά	Ναζαρά, Ναζαρέθ	Nazareth
νοέω	νοέω	to understand
ξένος	ξένος, -η, -ον	strange; a stranger, host (as a noun)
οἷος	οἷος, -α, -ον	such as
ὄφις	ὄφις, -εως, ὁ	a serpent
πετεινός	πετεινόν, -ου, τό	a bird
προσδέχομαι	προσδέχομαι	to receive, wait for
σαδδουκαῖος	Σαδδουκαῖος, -ου, ὁ	a Sadducee
σεισμός	σεισμός, -οῦ, ὁ	an earthquake
σῖτος	σῖτος, -ου, ὁ	wheat
τάλαντον	τάλαντον, -ου, τό	a talent
ταπεινόω	ταπεινόω	to humble
φρόνιμος	φρόνιμος, -ον	prudent, wise
φύσις	φύσις, -εως, ἡ	nature
χωλός	χωλός, -ή, -όν	lame
ἀνά	ἀνά	upwards, up (acc); each (with numerals)
ἀναλαμβάνω	ἀναλαμβάνω	to take up
ἀναστροφή	ἀναστροφή, -ῆς, ἡ	conduct
ἀνδρέας	Ἀνδρέας, -ου, ὁ	Andrew
ἄνωθεν	ἄνωθεν	from above, again
γέμω	γέμω	to fill
δαιμονίζομαι	δαιμονίζομαι	to be demon possessed
διαλέγομαι	διαλέγομαι	to dispute, reason
διαφέρω	διαφέρω	to differ
δράκων	δράκων, -οντος, ὁ	a dragon
ἐκπλήσσω	ἐκπλήσσομαι	to be astonished, amazed
ἐλεημοσύνη	ἐλεημοσύνη, -ης, ἡ	alms
ἐμπαίζω	ἐμπαίζω	to mock
ἕξ	ἕξ	six
ἐξαποστέλλω	ἐξαποστέλλω	to send forth
ἔξωθεν	ἔξωθεν	from without, outside (gen)
ἐπιζητέω	ἐπιζητέω	to seek for
ζύμη	ζύμη, -ης, ἡ	leaven
θερισμός	θερισμός, -οῦ, ὁ	harvest
καθάπερ	καθάπερ	even as, just as, as
καπνός	καπνός, -οῦ, ὁ	smoke
καταισχύνω	καταισχύνω	to put to shame
καταντάω	καταντάω	to come to, arrive
καταρτίζω	καταρτίζω	to mend, fit, perfect, prepare
κλέπτω	κλέπτω	to steal
